brand,country,industry,website,products,description,mission,overall_score,environment_score,environment_products,environment_practices,environment_outputs,environment_inputs,certification
gb&d magazine,United States,publishing - newspapers & magazines,gbdmagazine.com,green building & design magazine,unknown,unknown,91.5,7.7,0.0,7.7,0.7,0.7,b-corp
gdiapers,United States,personal care products,gdiapers.com,"disposable, flushable, compostable (wet ones only) baby diapers","gdiapers is changing the world of disposable diapers — top to bottom, inside and out. our simple system pairs adorable soft cotton gpants diaper covers with disposable inserts that are flushable and compostable (wet ones only). gdiapers disposable inserts",eliminate disposable diapers.,99.3,40.4,16.3,23.2,1.6,5.5,b-corp
gea,Argentina,materials recovery & recycling,www.geasustentable.com.ar,soluciones sustentables en gestión de residuos.,implementamos programas de gestión de residuos en grandes generadores para reducir la basura que se envía a entierro.,acompañar a nuestros clientes en la  incorporación de buenas prácticas ambientales y sociales a través del desarrollo de programas integrales de reciclado y sustentabilidad.,92.4,41.3,unknown,10.8,1.9,3.9,b-corp
geco,Chile,other personal services,www.gecogroup.com,consulting,unknown,unknown,115.1,7.3,unknown,2.5,0.5,1.1,b-corp
gedes,Chile,management  consultant - for-profits,www.gedesconsultores.cl,consultoría,"la visión de nuestra organización es identificar las problemáticas que afectan el devenir de las organizaciones y entregar las herramientas y elementos necesarios para contribuir con su desarrollo, poniendo énfasis en temas sensibles ta","gedes consultores ltda. es una organización orientada hacia el desarrollo económico y social, bajo el enfoque de desarrollo local y con  una concepción humanista de la sociedad, a través de lo cual damos respuesta a demandas técnicas y de gestión.",98.2,14.5,unknown,13.0,3.5,3.8,b-corp
geekie,Brazil,other education,www.geekie.com.br,"geekie teste, geekie lab","geekie é uma empresa de ensino adaptativo, que desenvolve soluções que permitem com que qualquer pessoa que esteja em um processo de aprendizagem possa ter acesso ao conteúdo que melhor se adapte à sua própria forma de aprender.","a missão da geekie é ""ensino adaptativo para todos""",87.7,6.1,unknown,5.1,0.4,0.8,b-corp
gelfand partners architects,United States,architecture design & planning,www.gelfand-partners.com,"architecture, landscape architecture, master planning","gelfand partners is a woman-owned, full service san francisco design firm. the office advances the design of schools, affordable housing and civic facilities and extends the benefits of sustainability for budget sensitive clients.","a leader in sustainable design, educational facilities, community centers, affordable and special needs housing, and adaptive reuse of historic buildings.",103.7,37.4,unknown,11.8,1.0,2.2,b-corp
gemma,Uruguay,other personal services,www.gemma.uy,sustainable management and comunication consulting and training,"gemma surge con el fin de incentivar el desarrollo empresarial humano y sustentable, conscientes de que una nueva forma de gestionar es posible si trabajamos motivados y en armonía con el entorno y las personas.","incentivar la gestión sustentable y las buenas prácticas de empresas, proyectos y organizaciones a través de un enfoque integral y holístico.",102.3,5.1,unknown,4.5,0.5,1.8,b-corp
genashtim innovative learning pte ltd,Singapore,education & training services,www.genashtim.com,online learning and support services,"genashtim was set up to bring world-leading elearning programs to asia. we have since developed our own online learning solutions, and embarked on other online support services.",to leverage technology and the internet to connect resources in marginalized communities to the global economy and provide them with a meaningful and sustainable livelihood. and to do this with a minimal carbon footprint.,109.1,3.9,unknown,3.5,0.7,0.0,b-corp
general bio,Korea (Republic of),chemicals & chemical products,www.generalbio.co.kr/eng/,"functional cosmetics, bio foods (supplements), and eco-friendly household goods","general bio's goals of the business activities are improving various social issues through business practice, and contributing to economic stability of community.",#name?,166.9,26.4,unknown,19.4,4.9,6.6,b-corp
generation investment management llp,United Kingdom,equity investing - developed markets,www.generationim.com,"independent, private, investment management partnership","generation investment management llp is dedicated to long term investing, integrated sustainability research and client alignment.",to deliver superior investment performance by consistently taking a long-term view and fully integrating sustainability research within a rigorous framework of traditional financial analysis.,107.5,12.6,unknown,11.4,1.3,2.0,b-corp
"generationhope, inc.",Philippines,beverages,www.generationhope.ph,bottled water,"hope is the only philippine company to donate 100% of its profits to the building of public school classrooms. launched in 2012, our mission was simple, to allow filipinos to choose another way – to vote with their peso about what was important to them.",unknown,93.7,5.4,unknown,4.2,1.2,0.5,b-corp
generous minds,Netherlands,management  consultant - for-profits,www.generous-minds.com,covestment in good business.,"generous minds is a powerful collective of covestors: like-minded consutants and investors. we use our covestment method to develop and coach 'b-corp' start ups, small and medium enterprise, and corporates with capital and know-how.",generous minds mission is to 'happinize the world' by solving societal and environmental problems in an entrepreneurial way.,131.6,9.4,unknown,8.5,2.5,0.0,b-corp
"geneva global, inc.",United States,management consultant - nonprofits,www.genevaglobal.com,philanthropic advice and services,geneva global is a philanthropic consulting company that provides a full range of advice and services to help clients in their international development and social change initiatives.,our purpose is to unleash the full potential of the philanthropic sector and transform hundreds of millions of people’s lives as a result.,96.4,5.8,unknown,5.5,0.0,3.3,b-corp
genexa,United States,pharmaceutical products,genexahealth.com,organic & non-gmo medicines,making organic and non-gmo verified medicines.,to make medicine healthier!,108.0,27.5,unknown,11.0,3.1,5.0,b-corp
genuine health,Canada,other/general wholesale trade,www.genuinehealth.com,nutritional supplements,"genuine health creates science based, natural, nutritional supplements that promote health, beauty and performance.  our commitment to quality, efficacy, and safety applies to both our innovative products and our environmental and social responsibility.",we are dedicated to the pursuit of health & happiness and to inspire people to be their best - naturally.,80.8,13.7,unknown,12.4,0.8,1.9,b-corp
genus capital management inc.,Canada,investment advising,www.genuscap.com,"investment management, responsible investing, sustainable investing, fossil free",genus capital provides families and institutions with innovative investment solutions. genus is home to canada’s first fossil free mutual fund family. this is one of several innovative solutions that allow canadians to invest in a sustainable future.,unknown,88.8,4.8,unknown,4.8,0.7,0.7,b-corp
gerding edlen,United States,real estate development,www.gerdingedlen.com,"commercial real estate - development, asset/property mgmt., investment mgmt.",creating vibrant and sustainable places for people; developing transformational buildings that help preserve the planet; leveraging investment value to create prosperity,"gerding edlen is committed to building high quality, deeply sustainable properties that ensure enduring value for its investor partners. gerding edlen’s principles of place guide its development efforts and ensure that properties create value for resident",95.7,44.0,unknown,9.1,0.8,3.3,b-corp
gestión humor ltda,Chile,other education,www.gestionhumor.cl,unknown,unknown,unknown,90.4,7.5,unknown,6.0,1.0,0.6,b-corp
gestion immobiliere quo vadis inc,Canada,real estate development (isic 681),www.giquovadis.com,real estate development of historical buildings,unknown,"revolutionizing the real estate industry by creating opportunities for people to feel supported and part of a developed community to allow for maximum collective impact through a triple bottom line model; people, planet, profit",108.3,35.0,0.0,34.3,0.7,1.7,b-corp
gexsi,Germany,not in use,gexsi.org,"impact investing related advisory services, coaching, and research","gexsi evolved from an initiative launched at the world economic forum - the global exchange for social investment. we advise and guide entrepreneurs, investors and philanthropists in the evolving market for impact investing globally.","we assist organisations across sectors in accessing the global impact investing and social business development community, and inform and inspire about opportunities in this emerging investment sector.",113.5,2.8,unknown,2.5,2.5,0.0,b-corp
ginger salon inc,United States,hairdressing & other beauty services,www.gingersalon.com,hair salon,bringing salon services to our local cliental with a passion and desire for bettering the future.,"ginger salon's personal mission is to be the best, most talented, most successful, most cutting edge salon in the state of oregon. period.",80.5,16.7,unknown,14.9,1.5,4.3,b-corp
give something back workplace solutions,United States,other/general wholesale trade,givesomethingback.com,"office products, furniture, printing services, janitorial and breakroom supplies",commercial b to b office products business,donates all profits to non-profit organizations in areas of operation chosen by customers and employees living and working in those areas.,133.8,22.5,unknown,15.1,1.5,6.6,b-corp
